name	set	number	before	after
(REDACTED)	479	110	{{CardData\n|Name=(REDACTED)\n|Image=479-110.png\n|Artist=\n|Text=After you choose Logos as your active house, put 1{{Aember}} from the common supply on [REDACTED]. When there are 4{{Aember}} or more on [REDACTED], destroy it and [[Timing_Chart#Forge_a_Key|forge a key]] at no [[Cost|cost]].\n|Keywords=\n|FlavorText=\n|Power=\n|Armor=\n|Amber=0\n|Type=Artifact\n|House=Logos\n|Traits=[Redacted]\n|Rarity=Rare\n|Assault=\n|Hazardous=\n|EnhanceAmber=0\n|EnhanceDraw=0\n|EnhanceCapture=0\n|EnhanceDamage=0\n}}\n{{SetData\n|SetName=Age of Ascension\n|SetNumber=435\n|CardNumber=139\n}}\n{{SetData\n|SetName=Mass Mutation\n|SetNumber=479\n|CardNumber=110\n}}
Academy Training	479	098	{{CardData\n|Name=Academy Training\n|Image=479-098.png\n|Artist=\n|Text=If you [[Control|control]] this creature, it belongs to house Logos. ([[Replacement Effects|Instead]] of its original house.) <p> This creature gains, “'''Reap:''' Draw a card.”\n|Keywords=\n|FlavorText=\n|Power=\n|Armor=\n|Amber=0\n|Type=Upgrade\n|House=Logos\n|Traits=\n|Rarity=Rare\n|Assault=\n|Hazardous=\n|EnhanceAmber=0\n|EnhanceDraw=0\n|EnhanceCapture=0\n|EnhanceDamage=0\n}}\n{{SetData\n|SetName=Worlds Collide\n|SetNumber=452\n|CardNumber=161\n}}\n{{SetData\n|SetName=Mass Mutation\n|SetNumber=479\n|CardNumber=098\n}}
Ancient Power	479	199	{{CardData\n|Name=Ancient Power\n|Image=479-199.png\n|Artist=\n|Text='''Play:''' [[Ward|Ward]] each friendly creature with {{Aember}} on it.\n|Keywords=\n|FlavorText=“Remember, they only look old-fashioned.” – [[Commander Chan]]\n|Power=\n|Armor=\n|Amber=1\n|Type=Action\n|House=Saurian\n|Traits=\n|Rarity=Uncommon\n|Assault=\n|Hazardous=\n|EnhanceAmber=0\n|EnhanceDraw=0\n|EnhanceCapture=0\n|EnhanceDamage=0\n}}\n{{SetData\n|SetName=Worlds Collide\n|SetNumber=452\n|CardNumber=198\n}}\n{{SetData\n|SetName=Mass Mutation\n|SetNumber=479\n|CardNumber=199\n}}
Angwish	479	018	{{CardData\n|Name=Angwish\n|Image=479-018.png\n|Artist=\n|Text=[[For each|For each]] damage on Angwish, your opponent’s keys [[Cost|cost]] +1{{Aember}}.\n|Keywords=\n|FlavorText=“The more it hurts, the more it shares its pain. <p> What a beautiful monster.” <p> – [[Miss ”Onyx” Censorius]]\n|Power=6\n|Armor=0\n|Amber=0\n|Type=Creature\n|House=Dis\n|Traits=Demon\n|Rarity=Uncommon\n|Assault=0\n|Hazardous=0\n|EnhanceAmber=0\n|EnhanceDraw=0\n|EnhanceCapture=0\n|EnhanceDamage=0\n}}\n{{SetData\n|SetName=Age of Ascension\n|SetNumber=435\n|CardNumber=069\n}}\n{{SetData\n|SetName=Mass Mutation\n|SetNumber=479\n|CardNumber=018\n}}
Armageddon Cloak	479	158	{{CardData\n|Name=Armageddon Cloak\n|Image=479-158.png\n|Artist=\n|Text=This creature gains [[Hazardous|hazardous]] 2 and, “'''Destroyed:''' Fully [[Heal|heal]] this creature and destroy Armageddon Cloak [[Replacement Effects|instead]].”\n|Keywords=\n|FlavorText=\n|Power=\n|Armor=\n|Amber=1\n|Type=Upgrade\n|House=Sanctum\n|Traits=\n|Rarity=Rare\n|Assault=\n|Hazardous=\n|EnhanceAmber=0\n|EnhanceDraw=0\n|EnhanceCapture=0\n|EnhanceDamage=0\n}}\n{{SetData\n|SetName=Call of the Archons\n|SetNumber=341\n|CardNumber=263\n}}\n{{SetData\n|SetName=Age of Ascension\n|SetNumber=435\n|CardNumber=249\n}}\n{{SetData\n|SetName=Mass Mutation\n|SetNumber=479\n|CardNumber=158\n}}
Axiom of Grisk	479	183	{{CardData\n|Name=Axiom of Grisk\n|Image=479-183.png\n|Artist=\n|Text='''Play:''' [[Ward|Ward]] a creature. Destroy each creature with no {{Aember}} on it. Gain 2 chains.﻿﻿\n|Keywords=\n|FlavorText=\n|Power=\n|Armor=\n|Amber=0\n|Type=Action\n|House=Saurian\n|Traits=\n|Rarity=Common\n|Assault=\n|Hazardous=\n|EnhanceAmber=0\n|EnhanceDraw=0\n|EnhanceCapture=0\n|EnhanceDamage=0\n}}\n{{SetData\n|SetName=Worlds Collide\n|SetNumber=452\n|CardNumber=182\n}}\n{{SetData\n|SetName=Mass Mutation\n|SetNumber=479\n|CardNumber=183\n}}\n{{AltArt\n|File=Axiom_of_grisk_alt_art.png\n|Artist=Konstantin Turovec\n|Year=2019\n}}
Barrister Joya	479	145	{{CardData\n|Name=Barrister Joya\n|Image=479-145.png\n|Artist=\n|Text=Enemy creatures cannot reap.\n|Keywords=\n|FlavorText=“A righteous law will enforce itself.”\n|Power=5\n|Armor=1\n|Amber=0\n|Type=Creature\n|House=Sanctum\n|Traits=Human • Knight\n|Rarity=Uncommon\n|Assault=0\n|Hazardous=0\n|EnhanceAmber=0\n|EnhanceDraw=0\n|EnhanceCapture=0\n|EnhanceDamage=0\n}}\n{{SetData\n|SetName=Age of Ascension\n|SetNumber=435\n|CardNumber=228\n}}\n{{SetData\n|SetName=Mass Mutation\n|SetNumber=479\n|CardNumber=145\n}}
Berinon	479	146	{{CardData\n|Name=Berinon\n|Image=479-146.png\n|Artist=Andreas Zafiratos\n|Text=After a [http://archonarcana.com/Card_Gallery?traits=Mutant Mutant] creature enters play, [[Enrage|enrage]] Berinon.  <p> '''Reap:''' Capture 2{{Aember}}.\n|Keywords=\n|FlavorText=“[[The Red Shroud]] will defend the Crucible <p> from the threat of dark æmber.”\n|Power=5\n|Armor=2\n|Amber=0\n|Assault=0\n|Hazardous=0\n|EnhanceDamage=0\n|EnhanceAmber=0\n|EnhanceDraw=0\n|EnhanceCapture=0\n|Type=Creature\n|House=Sanctum\n|Traits=Spirit • Knight\n|Rarity=Uncommon\n}}\n{{SetData\n|SetName=Mass Mutation\n|SetNumber=479\n|CardNumber=146\n}}
Bonerot Venom	479	261	{{CardData\n|Name=Bonerot Venom\n|Image=479-261.png\n|Artist=\n|Text=After this creature is used, deal 2{{Damage}} to it.\n|Keywords=\n|FlavorText=“Oh no! My bones!” – [[Quixo the ”Adventurer”]]\n|Power=\n|Armor=\n|Amber=1\n|Type=Upgrade\n|House=Shadows\n|Traits=\n|Rarity=Uncommon\n|Assault=\n|Hazardous=\n|EnhanceAmber=0\n|EnhanceDraw=0\n|EnhanceCapture=0\n|EnhanceDamage=0\n}}\n{{SetData\n|SetName=Age of Ascension\n|SetNumber=435\n|CardNumber=283\n}}\n{{SetData\n|SetName=Mass Mutation\n|SetNumber=479\n|CardNumber=261\n}}
Booby Trap	479	262	{{CardData\n|Name=Booby Trap\n|Image=479-262.png\n|Artist=\n|Text='''Play:''' Deal 4{{Damage}} to a creature that is not on a [[Flank|flank]], with 2{{Damage}} [[Splash|splash]].﻿﻿\n|Keywords=\n|FlavorText=\n|Power=\n|Armor=\n|Amber=1\n|Type=Action\n|House=Shadows\n|Traits=\n|Rarity=Uncommon\n|Assault=\n|Hazardous=\n|EnhanceAmber=0\n|EnhanceDraw=0\n|EnhanceCapture=0\n|EnhanceDamage=0\n}}\n{{SetData\n|SetName=Call of the Archons\n|SetNumber=341\n|CardNumber=268\n}}\n{{SetData\n|SetName=Mass Mutation\n|SetNumber=479\n|CardNumber=262\n}}
