CardNumber,Artist
000,Monztre
001,"JB Casacop"
002,BalanceSheet
003,"Colin Searle"
004,"Hans Krill"
005,"Leandro Franci"
006,"Leandro Franci"
007,"Gabriel Scavariello"
008,"Gong Studios"
009,"Gong Studios"
010,"Gong Studios"
011,"Gong Studios"
012,"Hans Krill"
013,"Hans Krill"
014,"Caravan Studio"
015,"Colin Searle"
016,"Colin Searle"
017,BalanceSheet
018,"Marko Fiedler"
019,"Gong Studios"
020,"Gabriel Zanini"
021,"Sean Donaldson"
022,"Grigory Serov"
023,"Gong Studios"
024,BalanceSheet
025,"Colin Searle"
026,"Dany Orizio"
027,BalanceSheet
028,BalanceSheet
029,"Gong Studios"
030,"Ameen Naksewee"
031,"Fábio Perez"
032,"Gong Studios"
033,"Hans Krill"
034,BalanceSheet
035,"Jason Juta"
036,"Gong Studios"
037,"Jason Juta"
038,"Nasrul Hakim"
039,"Gabriela Marchioro"
040,"Bogdan Tauciuc"
041,"Dany Orizio"
042,"Vladimir Zyrianov"
043,"Milica Čeliković"
044,"Jorge Ramos"
045,"Pedro Dutra"
046,"Leandro Franci"
047,"JB Casacop"
048,"JB Casacop"
049,BalanceSheet
050,"Grigory Serov"
051,"Gong Studios"
052,"Borja Pindado"
053,"Gong Studios"
054,BalanceSheet
055,"Nasrul Hakim"
056,"Hans Krill"
057,"Konstantin Turovec"
058,"Leandro Franci"
059,"Jessé Suursoo"
060,"Sean Donaldson"
061,"Bogdan Tauciuc"
062,"Gabriel Scavariello"
063,"Colin Searle"
064,"Ivan Tao"
065,"Leonardo Santanna"
066,"Stanislav Dikolenko"
067,"Radial Studio"
068,"Andreas Zafiratos"
069,"Brandon Hunt"
070,"JB Casacop"
071,"Liiga Smilshkalne"
072,"Liiga Smilshkalne"
073,"David Auden Nash"
074,"Brian Fajardo"
075,"Oscar Römer"
076,"Brian Fajardo"
077,"Andrew Bosley"
078,"Michele Giorgi"
079,"Iqnatius Budi"
080,"Radial Studio"
081,"Ilya Bondarenko"
082,"Cindy Avelino"
083,"Gong Studios"
084,"Eric Kenji Aoyagi"
085,"Liiga Smilshkalne"
086,"Gong Studios"
087,"Andreas Zafiratos"
088,"John Silva"
089,"Vladimir Zyrianov"
090,"Flaviano Pivoto"
091,"Grigory Serov"
092,"Chris Bjors"
093,"Ivan Tao"
094,"Gabriela Marchioro"
095,"Dong Cheng"
096,"Mark Bulahao"
097,"Andrew Bosley"
098,"Grigory Serov"
099,"Caravan Studio"
100,"Leonardo Santanna"
101,"Andrew Bosley"
102,"Tomek Larek"
103,"Radial Studio"
104,"Diego Gisbert"
105,"Mo Mukhtar"
106,"Chris Bjors"
107,"Josh Corpuz"
108,"Brian Fajardo"
109,"Dong Cheng"
110,"Gong Studios"
111,Brolken
112,"Ivan Tao"
113,"Ivan Tao"
114,"Dany Orizio"
115,"Stanislav Dikolenko"
116,"Radial Studio"
117,"Andreas Zafiratos"
118,"Ivan Tao"
119,"Brandon Hunt"
120,"Mads Ahm"
121,"Brian Fajardo"
122,"Marko Fiedler"
123,"JB Casacop"
124,"Sean Donaldson"
125,"Marc Escachx"
126,"Konstantin Turovec"
127,"Steve Ellis"
128,"Cindy Avelino"
129,"Dany Orizio"
130,"Roman Semenenko"
131,"Caio Monteiro"
132,"Caio Monteiro"
133,"Gong Studios"
134,"Edgar Hidalgo"
135,"Art tavern"
136,"Marko Fiedler"
137,"Konstantin Turovec"
138,"Michele Giorgi"
139,"Gong Studios"
140,"Grigory Serov"
141,"Dany Orizio"
142,"Marc Escachx"
143,"Caravan Studio"
144,BalanceSheet
145,"Vladimir Zyrianov"
146,"Grigory Serov"
147,"Marko Fiedler"
148,"Marko Fiedler"
149,"Dong Cheng"
150,"Tomek Larek"
151,"David Tenorio"
152,"Radial Studio"
153,"Sean Donaldson"
154,"Alexandre Leoni"
155,"David Auden Nash"
156,"Konstantin Turovec"
157,"Vladimir Kafanov"
158,"Dong Cheng"
159,"Tomek Larek"
160,"Gabriel Rubio"
161,"Dany Orizio"
162,"Diego Gisbert"
163,"Cindy Avelino"
164,"Konstantin Turovec"
165,"Gabriel Rubio"
166,"Dong Cheng"
167,BalanceSheet
168,"Vladimir Kafanov"
169,"Gong Studios"
170,"Marc Escachx"
171,"Dany Orizio"
172,"Dany Orizio"
173,"Konstantin Turovec"
174,"Tomek Larek"
175,"Dany Orizio"
176,"Steve Ellis"
177,"Cindy Avelino"
178,"Konstantin Turovec"
179,"Edgar Hidalgo"
180,"Konstantin Turovec"
181,"Diego Machuca"
182,"Roman Semenenko"
183,"Edgar Hidalgo"
184,"Chris Bjors"
185,"Chris Bjors"
186,"Michele Giorgi"
187,"Marc Escachx"
188,"Marko Fiedler"
189,"Hendry Iwanaga"
190,"Chris Bjors"
191,BalanceSheet
192,"Chris Bjors"
193,"Gong Studios"
194,"Gong Studios"
195,"Flaviano Pivoto"
196,"Bogdan Tauciuc"
197,"Yan Kyohara"
198,"Maria Poliakova"
199,"Anzka Nguyen"
200,"David Tenorio"
201,"Gong Studios"
202,"Natalie Russo"
203,"Brandon Hunt"
204,"Atha Kanaani"
205,"Rodrigo Camilo"
206,"Gabriel Rubio"
207,"David Auden Nash"
208,BalanceSheet
209,"Nasrul Hakim"
210,"Jessé Suursoo"
211,"Michele Giorgi"
212,"Gong Studios"
213,"David Tenorio"
214,Djib
215,"Chris Bjors"
216,"Gong Studios"
217,"Andrew Bosley"
218,"Marc Escachx"
219,"Marko Fiedler"
220,"Rodrigo Camilo"
221,Monztre
222,"Bogdan Tauciuc"
223,"Lucas Firmino"
224,"Gong Studios"
225,"Dany Orizio"
226,"Colin Searle"
227,"Flaviano Pivoto"
228,"Dany Orizio"
229,"Brandon Hunt"
230,"Michele Giorgi"
231,"Marc Escachx"
232,"Tomek Larek"
233,"Vladimir Kafanov"
234,"Ivan Tao"
235,"Mariana Ennes"
236,"Matheus Schwartz"
237,"Hendry Iwanaga"
238,"Lucas Firmino"
239,"Chris Bjors"
240,"Timur Shevtsov"
241,"Helena Butenkova"
242,"Nasrul Hakim"
243,"Radial Studio"
244,"Gong Studios"
245,"Konstantin Turovec"
246,"Kristina Kolesnikova"
247,"Bogdan Tauciuc"
248,"Ivan Tao"
249,"Jessé Suursoo"
250,"Gabriel Scavariello"
251,"Gabriel Scavariello"
252,"Vladimir Zyrianov"
253,"Vladimir Zyrianov"
254,"Vladimir Zyrianov"
255,"Vladimir Zyrianov"
256,"Radial Studio"
257,"Natalie Russo"
258,"David Auden Nash"
259,"Gong Studios"
260,"Fábio Perez"
261,"Matthew Mizak"
262,"Grigory Serov"
263,"Adam Schumpert"
264,"Hendry Iwanaga"
265,"Leandro Franci"
266,"Chris Bjors"
267,"Alexandre Leoni"
268,"Brandon Hunt"
269,"David Tenorio"
270,"Hendry Iwanaga"
271,"Leandro Franci"
272,"David Tenorio"
273,"David Auden Nash"
274,"Grigory Serov"
275,"Marko Fiedler"
276,"Konstantin Turovec"
277,"Kristina Kolesnikova"
278,"Josh Corpuz"
279,"Marzena Piwowar"
280,"Mihai Radu"
281,"Tomek Larek"
282,"Chris Bjors"
