Set Number, Card Name
001, Art Project
002, Azuretooth
003, Curse of Spontaneity
004, Cursed Relic
005, Elenya the Charming
006, Envoy of Ekwirrĕ
007, Flea Market
008, Freelancer
009, Grisly Exchange
010, Put in a Spin
011, Skreel Swarm
012, Skŏllĕnbŭzzz
013, Soul Exchange
014, Talent Scout
015, Zavel, “Archaeologist”
016, Bonded Auctioneer
017, Exchange Program
018, Fortune Reverser
019, Gegrrŏkŭŭ Sapper
020, Market Fluctuation
021, Pen Pal
022, Puzzling Trinket
023, Ravening Morphazoid
024, Sandwyrm
025, Scrapscrounger
026, Shopping Spree
027, Trade Secrets
028, Auction Off
029, Closed-Door Negotiation
030, De-escalation
031, Gemcoat Vendor
032, Historian Li-Darkin
033, Iron Heidy
034, Legerdemain
035, Rumor-sower
036, Security Detail
037, Shrewd Investor
038, Steward Su-Uzyanĕ
039, The Old Tinker
040, A Strong Feeling
041, Animating Force
042, Call of Need
043, Empathic Malice
044, Future is Past
045, Helichopper
046, Jahneerie
047, Junkyard Cemetery
048, Kaspara
049, Miss Chievous
050, Poltergeistoids
051, Protective Playmate
052, Shadys
053, Shell of a Ghost
054, Well of Memory
055, Atomic Destabilizer
056, Boiler
057, Dimo, Elderghast
058, Doppelganger
059, Echofly
060, Infiltrator
061, Phantasmal Visit
062, Return to Rubble
063, Spontaneous Awakening
064, Tangler
065, Thoughtcatcher
066, Veil of Ectoplasm
067, All Hands on Deck
068, Be Our Geist
069, Boo!
070, Ecto-Charge
071, Hallowed Eve Festival
072, Memette
073, Parabyte
074, Portal Guardian
075, Reaver
076, Snippy
077, The Grim Reaper
078, Webstur
079, Banshee Suit
080, Ethereal Adaptor
081, Precocious Fragment
082, Purse-a-phone
083, Dysania
084, Entropic Swirl
085, Honors Keysis
086, Hyde
087, Knowledge is Power
088, Library Card
089, Master the Theory
090, Minerva’s Wings
091, Nautilus
092, Psychic Bug
093, Replicator
094, Reverse Time
095, Strange Gizmo
096, Timetraveller
097, Zenzizenzizenzic
098, Archon’s Callback
099, Bouncing Deathquark
100, C.Æ.N.D.L.E. Unit
101, Chronus
102, Code Monkey
103, Eureka!
104, Interdimensional Graft
105, Novu Dynamo
106, Quantum Compass
107, Rm-Foler
108, Rocket Boots
109, Root Access
110, Archimedes
111, Articulated Ren
112, Batdrone
113, Binate Rupture
114, EDAI “Edie” 4x4
115, Effervescent Principle
116, Eyegor
117, Ganymede Archivist
118, Lethologica
119, Phase Shift
120, Professor Sutterkin
121, Wild Wormhole
122, Holo-Camo
123, Reallocation Accessory
124, Void Shields
125, Help from Future Self
126, Velum
127, Brain Stem Antenna
128, Commpod
129, Entropic Manipulator
130, Extinction
131, Hypnotic Command
132, Invasion Portal
133, Irradiated Æmber
134, Martians Make Bad Allies
135, Nautilixian
136, Phylyx the Disintegrator
137, Replay Pod
138, Shatter Storm
139, Swap Widget
140, Tangrant
141, Yxlyx Stimrager
142, Airlock
143, Battle Fleet
144, Deep Probe
145, Destroy Them All!
146, Ether Spider
147, Key Abduction
148, Kyypax Encapsulator
149, Memrox the Red
150, Nyzyk Resonator
151, Orbital Bombardment
152, Uxlyx the Zookeeper
153, Zizok
154, Collector Worm
155, Crimson Dax
156, Kaboom!
157, Mars First
158, Mind Your Elders
159, Mothergun
160, Myx, the Tallminded
161, Scoop Up
162, Synwyx the Bold
163, Ulyq Megamouth
164, Yandylinx
165, Yxilo Bolter
166, Yxilx Dominator
167, Green Aeronaut
168, Purple Aeronaut
169, Red Aeronaut
170, White Aeronaut
171, Amphora Captura
172, Brachiaditus
173, Cincinnatus Rex
174, Crassosaurus
175, Enlist Numeri
176, Favor of Rex
177, Grimlocus Dux
178, Imperial Forge
179, Imperial Road
180, Magistrate Crispus
181, Optio Gorkus
182, Patronage
183, Saurus Rex
184, Senator Bracchus
185, Tertiate
186, Chaosodon
187, Dark Centurion
188, Exile
189, Gargantodon
190, Orator Hissaro
191, Pax Sauriana
192, Philophosaurus
193, Regrettable Meteor
194, Sic Semper Tyrannosaurus
195, Stomp
196, The Callipygian Ideal
197, Æmbrosia Outpost
198, Citizen Shrix
199, Cornicen Octavia
200, Epic Poem
201, Faust the Great
202, Lapisaurus
203, Odoac the Patrician
204, Ostracize
205, Pale Into Insignificance
206, Praefectus Ludo
207, The Golden Spiral
208, Tribute
209, Tricerian Legionary
210, Bulleteye
211, Finch Cloak
212, Finishing Blow
213, Gambling Den
214, Mack the Knife
215, Manchego
216, Masterplan
217, Mole
218, One Last Job
219, Rigged Lottery
220, Sack of Coins
221, Scowly Caper
222, Splinter
223, The Quiet Anvil
224, The Shadow Council
225, Brend the Fanatic
226, Chain Gang
227, Lights Out
228, Macis Asp
229, Magda the Rat
