(REDACTED)	reason
After you choose Logos as your active house, place 1{{Aember}} from the common supply on [REDACTED]. When there are 4 or more {{Aember}} on [REDACTED], [[Sacrifice|sacrifice]] it and [[Timing_Chart#Forge_a_Key|forge a key]] at no [[Cost|cost]].	Old Text
After you choose Logos as your active house, put 1{{Aember}} from the common supply on [REDACTED]. When there are 4{{Aember}} or more on [REDACTED], destroy it and [[Timing_Chart#Forge_a_Key|forge a key]] at no [[Cost|cost]].	New Text
	
Captain Val Jericho	
During your turn, if Captain Val Jericho is in the [[Center of the Battleline|center of your battleline]], you may play one card that is not of the active house.	
During your turn, if Captain Val Jericho is in the [[Center of the Battleline|center of your battleline]], you may play 1 card that is not of the active house.﻿﻿	one->1
	
City Gates	
'''Action:''' A friendly creature captures 1{{Aember}}. If that creature is a Dinosaur, it captures 2{{Aember}} [[Replacement Effects|instead]].	
'''Action:''' A friendly creature captures 1{{Aember}}. If that creature is a [http://archonarcana.com/Card_Gallery?traits=Dinosaur Dinosaur], it captures 2{{Aember}} [[Replacement Effects|instead]].﻿﻿	saluk
	
Cleansing Wave	
'''Play:''' [[Heal|Heal]] 1 damage from each creature. Gain 1{{Aember}} [[For each|for each]] creature [[Heal|heal]]ed this way.	
'''Play:''' [[Heal|Heal]] 1 damage from each creature. Gain 1{{Aember}} [[For each|for each]] creature healed this way.	saluk
	
Daughter	
[[Elusive]]. (The first time this creature is attacked each turn, no damage is dealt.) <p> During your “draw cards” step, refill your hand to 1 additional card.	
[[Elusive|Elusive]]. (The first time this creature is attacked each turn, no damage is dealt.) <p> During your “draw cards” step, refill your hand to 1 additional card.	saluk
	
Diplo-Macy	
[[Alpha]].  <p> '''Play:''' Until the start of your next turn, each creature gains, “'''Before Fight:''' [[Exalt|Exalt]] this creature.”	
[[Alpha|Alpha]]. <p> '''Play:''' Until the start of your next turn, each creature gains, “'''Before Fight:''' [[Exalt|Exalt]] this creature.”	saluk
	
Eldest Bear	
[[Assault]] 3. <p> While Eldest Bear is in the [[Center of the Battleline|center of your battleline]], it gains, “'''Before Fight:''' Gain 2{{Aember}}.”	
[[Assault|Assault]] 3. <p> While Eldest Bear is in the [[Center of the Battleline|center of your battleline]], it gains, “'''Before Fight:''' Gain 2{{Aember}}.”	saluk
	
Encounter Suit	
After an action card is played but before it resolves, [[Ward|ward]] this creature.	
After an action card is played, but before resolving its play effect, [[Ward|ward]] this creature.	added "before play effect"
	
Entropic Swirl	
'''Play:''' Choose a creature, [[For each|for each]] trait that creature has, deal it 2{{Damage}} and gain 1{{Aember}}.	
'''Play:''' Choose a creature. [[For each|For each]] trait that creature has, deal 2{{Damage}} to it and gain 1{{Aember}}.	separate sentences + new wording
	
Equalize	
'''Play:''' Redistribute the {{Aember}} on friendly creatures among friendly creatures. Then, redistribute the {{Aember}} on enemy creatures among enemy creatures.	
'''Play:''' Redistribute the {{Aember}} on friendly creatures among friendly creatures. Redistribute the {{Aember}} on enemy creatures among enemy creatures.	removed "then"
	
Explo-rover	
[[Skirmish]]. <p> Explo-rover may be played as an upgrade [[Replacement Effects|instead]] of a creature, with the text: “This creature gains [[Skirmish|skirmish]].”	
[[Skirmish|Skirmish]]. (When you use this creature to fight, it is dealt no damage in return.) <p> Explo-rover may be played as an upgrade [[Replacement Effects|instead]] of a creature, with the text: “This creature gains skirmish.”﻿﻿	added reminder text
	
Fidgit	
[[Elusive]]. <p> '''Reap:''' Discard a random card from your opponent’s archives or the top card of their deck. If that card is an action, play it [[as if it were yours|as if it were yours]].	
[[Elusive|Elusive]]. <p> '''Reap:''' Discard a random card from your opponent’s archives or the top card of their deck. If that card is an action, play it [[as if it were yours|as if it were yours]].﻿﻿	saluk
	
Gamgee	
[[Elusive]]. (The first time this creature is attacked each turn, no damage is dealt.) <p> '''Reap:''' If your opponent has more {{Aember}} than you, steal 1{{Aember}}.	
[[Elusive|Elusive]]. (The first time this creature is attacked each turn, no damage is dealt.) <p> '''Reap:''' If your opponent has more {{Aember}} than you, steal 1{{Aember}}.﻿﻿	saluk
	
Ghosthawk	
[[Deploy]]. (This creature can enter play anywhere in your battleline.) <p> '''Play:''' You may reap with each neighboring creature, one at a time.	
[[Deploy|Deploy]]. (This creature can enter play anywhere in your battleline.) <p> '''Play:''' You may reap with each neighboring creature, one at a time.﻿﻿	saluk
	
Gorm of Omm	
'''Omni:''' [[Sacrifice|Sacrifice]] Gorm of Omm. Destroy an artifact.	
'''Omni:''' Destroy Gorm of Omm. Destroy an artifact.	sacrifice > destroy
	
Grimlocus Dux	
[[Taunt]]. <p> '''Play:''' [[Exalt|Exalt]] Grimlocus Dux twice.	
[[Taunt|Taunt]]. <p> '''Play:''' [[Exalt|Exalt]] Grimlocus Dux twice.	saluk
	
Guilty Hearts	
